customer_id,age,city,income,score,purchases,purchased
C1244,47.0,Galle,74217.0,0.798,5.0,1
C9013,60.0,Colombo,75973.0,0.381,11.0,0
C1002,48.0, Kandy,24824.0,0.694,2.0,0
C1465,63.0,Colombo ,LKR 44719,0.735,9.0,1
C1395,59.0,Jaffna,"76,738",0.716,7.0,1
C1104,55.0,Kandy,34039.0,0.661,5.0,0
C1090,38.0,Colombo,70554.0,0.408,0.0,0
C1274,37.0,Colombo,72586.0,0.556,11.0,0
C1173,51.0,Colombo,,0.703,9.0,0
C1348,26.0, Negombo ,106793.0,0.751,7.0,0
C1068,21.0,Colombo,51187.0,0.98,2.0,1
C1172,54.0,Colombo,66015.0,0.522,3.0,0
C1033,44.0,Colombo ,120073.0,0.674,5.0,0
C1070,55.0,Jaffna,,0.651,4.0,0
C1076,33.0,Jaffna,96905.0,0.336,1.0,0
C1000,22.0,Galle,72884.0,0.612,1.0,0
C1011,63.0,Jaffna,76282.0,,1.0,0
C1453,19.0,Jaffna,"53,047",0.701,1.0,0
C1022,26.0,Colombo,52546.0,0.923,3.0,true
C1431,52.0,Colombo,96178.0,0.849,8.0,1
C1368,19.0,Colombo,89371.0,0.443,7.0,1
C9011,61.0,Colombo,33021.0,0.332,11.0,0
C1296,57.0,Colombo ,76148.0,,6.0,NO
C1326,29.0,,63171.0,0.299,1.0,0
C1245,21.0,KANDY,44976.0,0.627,3.0,1
C1018,57.0,Colombo,39363.0,0.731,0.0,1
C1177,25.0,Jaffna,56029.0,0.587,10.0,0
C1131,44.0,Negombo,64225.0,0.721,11.0,1
C1277,54.0,Negombo,77666.0,0.41,0.0,0
C9003,54.0,Jaffna,75068.0,0.628,1.0,1
C1039,47.0,Colombo,84736.0,0.533,3.0,0
C1467,46.0,Colombo,83038.0,0.665,3.0,0
C1046,38.0,Negombo,LKR 76840,-0.2,8.0,0
C1388,59.0,Galle,103678.0,0.581,9.0,false
C1204,,Colombo ,71345.0,0.653,8.0,0
C1364,23.0,Colombo,77429.0,0.599,6.0,0
C1402,33.0,galle,58504.0,0.757,7.0,0
C1325,28.0,Kandy,56097.0,,0.0,0
C1124,58.0,Colombo,77883.0,,1.0,0
C1483,55.0,Colombo, 72747 ,0.201,1.0,false
C1499,38.0, Jaffna,104149.0,0.379,1.0,0
C1117,24.0,Galle,106405.0,0.738,5.0,1
C1069,40.0,Negombo,71677.0,0.768,3.0,y
C1356,25.0,Jaffna, 104018 ,0.625,6.0,0
C1302,18.0,Colombo,84016.0,0.578,8.0,false
C1371,49.0,Kandy,75187.0,0.366,0.0,0
C1471,55.0,Kandy,97165.0,0.337,10.0,0
C1391,26.0,Jaffna,69023.0,,10.0,1
C1380,18.0,,99862.0,0.61,8.0,True
C1405,41.0,Colombo,69057.0,0.824,0.0,1
C1331,35.0, Kandy,70510.0,0.49,0.0,0
C1220,23.0,Kandy,79655.0,0.5,5.0,1
C1148,56.0,Kandy,62133.0,0.844,7.0,1
C1301,56.0,Colombo,81953.0,0.125,6.0,0
C1278,21.0,Galle,77877.0,0.748,0.0,0
C1357,59.0,Colombo,136803.0,0.805,5.0,YES
C1354,63.0,Negombo,54917.0,0.358,10.0,0
C1208,30.0,Galle,69890.0,0.738,3.0,1
C1255,24.0,Galle,52085.0,59%,2.0,False
C1334,39.0,Jaffna,44699.0,0.372,6.0,0
C1275,40.0,Colombo,82760.0,0.421,6.0,0
C1447,,Kandy,114638.0,0.62,3.0,1
C1361,,Galle,71673.0,59%,2.0,1
C1086,,Colombo ,72091.0, 0.441 ,7.0,0
C1322,46.0,Kandy,90368.0,0.663,8.0,y
C1075,40.0,Galle,"72,301",0.772,7.0,0
C1454,46.0,Colombo,LKR 73133, 0.579 ,5.0,1
C1015,54.0,Colombo,,48%,6.0,0
C1370,33.0,Galle,61886.0, 0.370 ,6.0,0
C1182,41.0,Galle,71756.0,0.583,5.0,n
C1399,32.0,COLOMBO,53250.0,0.483,6.0,0
C1019,39.0,Colombo,25560.0,0.899,7.0,Yes
C1332,32.0,Colombo,77412.0,0.515,3.0,0
C1342,47.0,Colombo,64958.0,0.473,2.0,0
C1056,43.0,Colombo,50944.0,0.512,2.0,0
C1250,26.0,Galle,,0.64,6.0,0
C1341,31.0,Kandy,106989.0,0.645,9.0,0
C1437,61.0,Negombo,107405.0, 0.303 ,4.0,0
C1155,49.0,Jaffna,31911.0,0.686,0.0,0
C1025,48.0,Colombo,,0.632,6.0,YES
C1386,,Galle,"45,172",0.711,2.0,0
C1042,50.0,,91280.0,0.763,9.0,0
C1314,29.0,Galle,63386.0,0.98,10.0,1
C1284,38.0, Colombo ,75066.0,0.582,2.0,0
C1167,25.0,Galle,65511.0,0.424,3.0,0
C1286,25.0,Kandy,89742.0,0.241,8.0,0
C1126,21.0,Negombo,144935.0,-0.2,4.0,0
C1336,,Colombo,78297.0,0.489,2.0,0
C1031,28.0,Colombo,68416.0,0.893,4.0,YES
C1113,39.0,Colombo,LKR 66644,0.669,7.0,1
C1411,28.0,Jaffna,69212.0,0.47,5.0,0
C1222,51.0,colombo,85797.0,0.37,11.0,0
C1153,31.0,Colombo,76386.0,0.331,8.0,0
C1057,25.0,Galle,83734.0,0.912,3.0,0
C1210,30.0,Kandy,75132.0,0.571,4.0,0
C1024,54.0,Galle,77179.0,0.808,5.0,y
C1017,,Colombo,92754.0,0.723,9.0,n
C1211,51.0,Colombo,84863.0,0.453,6.0,0
C1066,60.0,Colombo,75973.0,0.381,11.0,0
C1228,43.0,Galle,83423.0,0.565,0.0,0
C1209,54.0,Galle,76666.0,0.754,2.0,1
C1094,60.0,Galle,61183.0,0.722,11.0,True
C1289,40.0,Jaffna,83335.0,0.644,0.0,0
C1291,30.0,,106731.0, 0.719 ,9.0,y
C1023,,Kandy,34084.0,0.524,7.0,0
C1365,42.0,Galle,66017.0,0.328,11.0,0
C1422,54.0,,30966.0,0.185,11.0,0
C1218,39.0,Colombo,95686.0, 0.395 ,2.0,0
C1005,58.0,Galle,"107,146",0.714,0.0,1
C1116,19.0,Galle,67822.0,0.704,11.0,1
C1045,63.0,Jaffna,35761.0,0.599,10.0,0
C1428,19.0,Colombo,97419.0,0.588,7.0,0
C1016,42.0,Colombo,92111.0,62%,1.0,0
C1481,56.0,Colombo,64304.0,0.531,7.0,0
C1369,54.0,Colombo,68913.0,0.538,11.0,0
C1003,38.0,Colombo,42074.0,0.761,1.0,0
C1238,32.0,Kandy,74958.0,0.941,4.0,True
C1438,21.0,Galle,21081.0,0.755,2.0,Yes
C1060,61.0,Kandy, 73874 ,0.835,5.0,1
C1110,31.0,NEGOMBO,83711.0,0.282,6.0,0
C1460,51.0,Negombo,45949.0,0.35,3.0,0
C1271,19.0,Colombo,107544.0, 0.616 ,0.0,0
C1029,38.0,Jaffna,55351.0,0.339,5.0,0
C1423,45.0,,63050.0,0.74,2.0,1
C1180,62.0,Negombo,83573.0,0.833,1.0,1
C1026,36.0, Colombo ,114547.0,0.546,11.0,0
C1007,50.0,Colombo,91881.0,0.516,11.0,0
C1181,25.0,Galle,77256.0,0.562,9.0,0
C1469,61.0,Negombo,71898.0,0.777,4.0,1
C1108,40.0,Kandy,101712.0,0.598,11.0,0
C1037,56.0,Colombo,93810.0,0.613,9.0,Yes
C1157,44.0,Jaffna,70139.0,65%,6.0,0
C1485,28.0,Galle,60167.0,0.963,10.0,True
C1118,29.0,Colombo,115423.0,0.98,11.0,1
C1114,41.0,GALLE,,0.694,8.0,false
C1268,46.0,Colombo,68342.0,0.679,10.0,0
C1175,39.0,Jaffna,98085.0,0.955,2.0,1
C1203,50.0,Colombo,62428.0,0.872,7.0,0
C1262,32.0,Colombo,80049.0,0.641,11.0,0
C1144,64.0,Colombo,59743.0,0.552,1.0,0
C1194,-3.0,Colombo,96723.0,,7.0,1
C1382,62.0,Colombo, 88164 ,0.848,2.0,1
C1393,46.0,COLOMBO,,0.634,7.0,0
C1418,31.0,Colombo,73046.0,0.621,1.0,0
C1234,41.0,Colombo,59334.0,,2.0,1
C1237,38.0,Colombo,,0.636,7.0,0
C1461,24.0,Galle,93803.0,0.435,0.0,0
C1141,28.0,Colombo,43269.0,0.785,2.0,1
C9998,, ,,,, 
C1067,0.0,Galle,70536.0,0.616,6.0,1
C1323,61.0,Galle,77242.0,0.601,2.0,1
C1168,33.0,Colombo, 19963 ,0.681,4.0,0
C1188,29.0,Galle,76538.0,,8.0,0
C1346,64.0,Galle,51417.0,0.411,10.0,0
C1433,,Kandy,62647.0,0.551,2.0,0
C1353,-3.0,Galle,39959.0,0.618,0.0,1
C1193,35.0,Colombo ,61312.0,0.847,3.0,0
C1081,38.0,,51159.0,0.24,8.0,0
C1109,51.0,Kandy,18000.0,0.754,5.0,1
C1261,26.0,Jaffna,41324.0,1.35,0.0,True
C1145,58.0,Kandy,93283.0,0.688,1.0,0
C1092,57.0,JAFFNA,LKR 80563,0.498,5.0,0
C1152,61.0,Galle,90934.0,0.693,6.0,1
C1068,21.0,Colombo,51187.0,0.98,2.0,1
C1407,24.0,Colombo ,72834.0,0.906,8.0,0
C1253,33.0,Kandy,88570.0,0.213,5.0,0
C1083,57.0,Jaffna,83344.0,0.756,8.0,0
C1103,18.0,kandy,28434.0,0.339,9.0,false
C1165,56.0,Colombo,81356.0,0.637,7.0,0
C1163,37.0,,49217.0,0.59,2.0,1
C1199,63.0,Kandy,33622.0,0.625,11.0,0
C1249,,Kandy,75761.0,0.302,2.0,NO
C1074,50.0,Jaffna,35692.0,0.666,5.0,1
C1318,62.0,Colombo,92725.0,0.453,11.0,0
C1310,,Colombo,101128.0,0.72,2.0,0
C1488,53.0,Colombo ,125196.0,0.804,3.0,1
C1119,23.0,Jaffna,67609.0,0.582,6.0,0
C1290,55.0,Negombo,47834.0,0.632,5.0,true
C1498,61.0,Galle,48702.0,-0.2,5.0,0
C1470,,Kandy,"108,699",0.524,0.0,0
C1410,26.0,Colombo,55327.0,0.4,6.0,0
C1494,31.0, Kandy,18000.0,0.438,1.0,0
C1280,30.0,Galle,73696.0,0.518,1.0,0
C1452,,Colombo,72429.0,0.644,6.0,n
C1497,35.0,Kandy,25505.0,0.525,3.0,0
C1305,24.0,Colombo,66982.0,0.814,2.0,1
C1396,20.0,Colombo,99941.0,0.98,5.0,1
C1320,33.0,colombo,53995.0,0.573,9.0,0
C1036,58.0, Colombo ,54741.0,0.76,5.0,0
C1196,34.0, Negombo ,106599.0,0.98,9.0,1
C1139,38.0,Jaffna,89665.0,0.574,5.0,0
C1377,53.0,Colombo,85880.0,0.663,0.0,0
C1442,-3.0, Colombo ,69399.0,0.602,7.0,0
C1493,46.0,Colombo, 59302 ,0.6,8.0,0
C1400,64.0,Kandy,84907.0,0.724,6.0,False
C1059,50.0,Colombo,46342.0,0.581,2.0,No
C9009,21.0,Galle,77877.0,0.748,0.0,0
C1248,54.0,Colombo,95336.0,0.363,5.0,0
C1111,54.0,Colombo,109352.0,0.427,5.0,NO
C1089,57.0,Negombo,79779.0,0.557,5.0,0
C1272,25.0,Colombo,114476.0,0.508,0.0,NO
C1265,45.0,Colombo,88904.0,0.474,2.0,false
C1373,35.0,Kandy,78968.0,0.489,11.0,false
C1150,58.0,Colmbo,,1.35,4.0,0
C1394,51.0,Galle,77245.0,0.498,11.0,n
C1038,31.0,Kandy,89072.0,93%,9.0,1
C1324,63.0,Jaffna,58229.0,0.865,8.0,1
C1198,33.0,,104995.0,0.795,0.0,1
C1266,39.0,Colombo,44106.0,0.778,3.0,0
C1146,19.0,Jaffna,45472.0,0.417,7.0,0
C1406,38.0,Jaffna,113970.0,0.198,8.0,0
C1147,28.0,Colombo,66047.0,0.859,0.0,1
C1316,52.0,,LKR 96695,0.755,6.0,1
C1415,49.0,Galle,103346.0,0.815,3.0,1
C1123,40.0,Colombo,72947.0,0.525,8.0,n
C1381,62.0,Jaffna,88510.0,0.824,11.0,y
C1096,29.0, Negombo ,66156.0,0.583,3.0,0
C1143,37.0,Galle,76848.0,0.775,2.0,1
C1239,47.0,Kandy,83977.0,0.684,4.0,1
C1281,40.0,Galle,58956.0,0.508,1.0,0
C1097,50.0,Colombo,80370.0,0.688,5.0,0
C1362,28.0,Negombo,84517.0,,1.0,0
C1122,,Colombo,113581.0,0.699,11.0,1
C1183,50.0,Jaffna,109942.0,0.532,10.0,0
C1202,41.0,Galle,77623.0,0.69,4.0,0
C1246,53.0,Kandy,69372.0,39%,6.0,0
C1455,44.0,Kandy,39795.0,0.329,1.0,0
C1307,44.0,Kandy,75793.0,0.589,7.0,0
C1468,26.0,Galle,88485.0,0.595,6.0,0
C1429,,Colombo,97664.0,0.495,11.0,0
C1409,18.0,Colombo ,28856.0,0.814,10.0,0
C1374,59.0, Negombo ,60567.0,0.688,6.0,0
C1125,44.0,colombo,83040.0,0.98,0.0,1
C1312,23.0,jaffna,63992.0,0.797,11.0,1
C1223,27.0,colombo,101407.0,0.879,10.0,1
C1432,56.0,Colombo,80998.0,0.717,1.0,0
C1219,60.0,Kandy,,0.822,11.0,1
C1129,47.0,Galle,96318.0,0.6,5.0,False
C1434,38.0,Galle,90352.0,0.577,11.0,0
C1297,38.0,Colombo,68975.0,,2.0,1
C1338,27.0,Colombo,77604.0,0.766,7.0,1
C1390,53.0,Galle,107723.0,0.672,0.0,1
C1299,,Kandy,88633.0,0.272,10.0,0
C1367,32.0,Colombo,41040.0,0.79,2.0,1
C1420,61.0,Colombo,112813.0, 0.355 ,0.0,False
C1294,43.0,Colombo,52009.0,0.317,1.0,false
C1404,41.0,Jaffna,70948.0,0.655,8.0,0
C1421,50.0,Kandy,23969.0,0.711,4.0,0
C1112,44.0,Colombo,50189.0,,0.0,true
C1179,41.0,Jaffna,41216.0,0.366,6.0,0
C1317,52.0,Colombo,62729.0,0.316,3.0,0
C1349,25.0,Galle,73298.0,1.35,7.0,0
C1340,47.0,Negombo,,0.549,6.0,1
C9001,41.0,Colombo,59334.0,,2.0,1
C1105,54.0,Kandy,LKR 75640,0.794,6.0,1
C1233,53.0,Colombo,49427.0,0.549,6.0,0
C1477,18.0,Colombo,54616.0,0.98,5.0,1
C1321,23.0,Jaffna,96426.0, 0.771 ,4.0,0
C1164,,Colombo,50947.0,0.305,4.0,0
C1136,46.0,Galle,82405.0,0.552,11.0,No
C1197,23.0,Kandy,86647.0,0.799,11.0,1
C1258,26.0,Kandy,43829.0,0.55,11.0,0
C1232,18.0,Kandy,85506.0,0.60,0.0,0
C1115,44.0,Kandy,55324.0,0.955,11.0,y
C1120,38.0,Galle,116911.0,,7.0,0
C1360,57.0,Kandy,80363.0, 0.834 ,0.0,1
C1224,51.0,Colombo,81366.0,0.594,6.0,0
C1416,63.0,Jaffna,76358.0,0.302,11.0,0
C1347,61.0,Galle,85011.0,0.649,5.0,0
C1127,53.0,KANDY,93728.0,0.488,6.0,0
C1285,62.0,Colombo,82485.0,1.35,5.0,0
C1425,27.0,Colombo,90182.0,0.63,2.0,0
C1107,49.0,galle,72413.0,0.334,9.0,0
C1383,29.0, Colombo ,86433.0,0.364,10.0,NO
C1335,55.0,Galle,107384.0,0.507,7.0,NO
C1133,44.0,Kandy,75684.0,0.683,5.0,0
C1376,,Galle,109742.0,0.678,6.0,1
C1044,21.0,Jaffna,82497.0,0.611,9.0,0
C1478,49.0,Kandy,107668.0,0.307,9.0,0
C1065,33.0,Colombo,80473.0,0.665,3.0,0
C1283,41.0,Galle,88946.0,0.679,7.0,0
C1085,50.0,Kandy,99200.0,0.173,8.0,NO
C1242,22.0,Galle,52948.0,0.466,9.0,False
C1186,25.0,Colombo,70041.0,0.666,9.0,0
C1397,,Kandy,67052.0,0.3,5.0,0
C1159,54.0,Negombo,74384.0,0.885,1.0,1
C1012,52.0,Colombo,87072.0,0.407,6.0,n
C1035,20.0,Kandy,99993.0,0.507,2.0,0
C1028,43.0,Jaffna,66822.0,0.589,4.0,0
C1170,22.0,,56673.0,0.499,3.0,0
C1142,30.0,Kandy,73715.0,0.308,5.0,0
C1412,0.0,Colombo,59911.0,0.646,8.0,0
C1352,32.0,Jaffna,69956.0,0.681,2.0,1
C1221,39.0,,94501.0,,11.0,1
C1095,31.0,Galle,81852.0, 0.951 ,2.0,1
C1051,27.0,Colombo,104903.0, 0.881 ,10.0,1
C1240,24.0,Galle,110571.0,0.793,8.0,1
C1449,31.0,Colombo,67001.0,0.494,8.0,0
C1351,20.0,Galle,50478.0,0.58,2.0,0
C1392,35.0,Colombo,"49,651",0.612,0.0,1
C1178,60.0,Colombo,85535.0,0.724,11.0,No
C1041,53.0,Colombo,88978.0,0.638,1.0,1
C1451,61.0,Colombo,33021.0,0.332,11.0,0
C1444,41.0,,53327.0,0.834,5.0,0
C1206,53.0,Negombo,71266.0,0.768,4.0,y
C1282,49.0, Colombo ,65882.0,0.859,6.0,0
C1358,22.0,Galle,62095.0,,1.0,0
C1254,49.0,Kandy,53006.0,0.586,0.0,0
C1426,58.0,Jaffna,85408.0,0.599,8.0,0
C1004,38.0,Colombo,54696.0,0.458,4.0,0
C1256,0.0,Colombo,99303.0,0.98,1.0,1
C1464,18.0,Galle,74766.0,50%,9.0,0
C1100,57.0,,64413.0,0.483,9.0,false
C1226,56.0,Kandy,82389.0,0.98,11.0,1
C1441,32.0, Jaffna,67008.0,0.422,2.0,0
C1213,39.0,Colombo,111243.0,0.326,9.0,n
C1436,44.0,Kandy,75029.0,0.69,7.0,False
C1171,,Colombo,62730.0,0.886,4.0,1
C1098,47.0,,LKR 81010,0.353,9.0,0
C1292,62.0,Jaffna,63984.0,0.781,7.0,0
C1215,30.0,Galle,87970.0,0.605,3.0,0
C1061,53.0,Kandy,"73,246",0.229,8.0,0
C1047,59.0,Jaffna,62764.0,0.739,3.0,YES
C1032,22.0,Colmbo,52669.0,0.477,2.0,0
C1267,34.0,Galle,82283.0,0.373,7.0,0
C1327,19.0,Kandy,86937.0,,4.0,0
C1200,35.0,Colombo, 68006 ,0.581,1.0,0
C1462,53.0,Jaffna,57395.0,0.523,4.0,0
C1027,56.0,Kandy,86359.0,0.295,8.0,0
C1403,,Colombo,69812.0,0.832,8.0,1
C1230,39.0,Kandy,37084.0,0.561,7.0,0
C1260,55.0,Colombo,LKR 85194,0.701,2.0,1
C1378,35.0,Kandy,96421.0,0.904,10.0,1
C1288,,Colombo,91637.0,0.98,4.0,1
C1162,37.0,Colombo,50556.0,0.563,11.0,0
C1439,36.0,Kandy,43811.0,0.643,10.0,False
C1138,34.0,Colombo,32387.0,0.546,6.0,1
C1062,35.0,Colombo,114546.0,0.257,7.0,0
C1135,32.0, Negombo ,"75,308",0.704,5.0,1
C1128,45.0,Colombo,59440.0,0.785,8.0,1
C1496,23.0,Colombo,35166.0,,6.0,0
C1008,,Colombo,49916.0,0.721,1.0,0
C1326,29.0,,63171.0,0.299,1.0,0
C1482,29.0, Colombo ,84245.0,0.645,2.0,0
C1064,37.0,COLOMBO,75252.0,0.631,1.0,1
C1300,35.0,Kandy,,0.392,4.0,false
C1014,51.0,Negombo,81119.0,,8.0,0
C1156,23.0,Colombo, 74729 ,0.72,2.0,0
C1040,25.0,Jaffna,102493.0,,5.0,1
C1379,30.0,Jaffna,102323.0,0.428,9.0,0
C1476,57.0,Colombo,47984.0,0.536,0.0,0
C1417,23.0,Negombo,75819.0,,11.0,0
C1216,21.0,,49681.0,0.541,11.0,false
C1279,21.0,Colombo,93123.0,0.407,10.0,0
C1450,63.0, Colombo ,49718.0,0.604,7.0,False
C1446,150.0,Galle,129063.0,0.66,1.0,1
C1337,32.0,Colombo,84046.0,0.759,7.0,0
C1236,49.0,kandy,64351.0,0.98,6.0,1
C1207,63.0,Kandy,84103.0,0.786,11.0,1
C1212,55.0,negombo,100637.0,0.464,8.0,Yes
C1295,42.0,Kandy,52537.0,,0.0,0
C1473,39.0,Negombo,91503.0,0.524,6.0,0
C1251,41.0,jaffna,72664.0,,10.0,0
C1448,42.0,Galle,65942.0,0.671,1.0,0
C1480,31.0,Colombo,45904.0,0.417,3.0,0
C1303,,Jaffna,88555.0,59%,1.0,0
C1350,43.0,Kandy,70669.0,0.625,8.0,1
C1269,45.0,Jaffna,64379.0,0.652,3.0,0
C1201,60.0,Jaffna,55926.0,0.582,6.0,0
C1161,49.0, Galle ,95848.0,0.104,11.0,0
C1043,34.0,Colombo,89012.0,0.54,2.0,1
C1217,22.0,Negombo,73067.0,0.088,5.0,0
C1401,54.0,Jaffna,75068.0,0.628,1.0,1
C1190,50.0,Jaffna,58461.0,0.545,4.0,0
C1309,23.0,Kandy,98002.0,0.731,8.0,YES
C1259,,Colombo,84764.0,0.927,6.0,1
C1105,54.0,Kandy,LKR 75640,0.794,6.0,1
C1053,39.0,Kandy,104714.0,0.687,0.0,0
C1389,25.0,,93485.0,0.551,0.0,0
C1001,-3.0,,99816.0,0.852,1.0,1
C1457,47.0,Galle,78270.0,0.686,8.0,1
C1384,150.0,Colombo,50859.0,56%,2.0,0
C1049,54.0,Galle,,,8.0,n
C1419,41.0, Kandy,75084.0,0.583,8.0,0
C1080,62.0,Galle, 56409 ,0.63,3.0,0
C1205,30.0,colombo,116408.0,0.456,10.0,0
C1034,59.0,Kandy,114274.0,0.489,0.0,0
C1430,,Colombo,79049.0,0.529,6.0,NO
C1263,61.0,COLOMBO,91183.0,0.679,3.0,0
C1427,55.0,Kandy, 66547 ,0.831,5.0,0
C1490,61.0,Colombo,94509.0,0.515,3.0,No
C1366,40.0,galle,44242.0,0.198,5.0,0
C1091,55.0,Negombo,62286.0,0.765,4.0,No
C1339,62.0,Colombo,84784.0,0.59,9.0,0
C1492,53.0,Jaffna,70909.0,-0.2,2.0,0
C1052,35.0,Kandy,80615.0,0.553,10.0,0
C1345,30.0,Colombo,73674.0,0.506,1.0,0
C1264,64.0,Colombo,,0.76,1.0,false
C1241,45.0,Galle,77883.0,0.49,8.0,0
C1013,53.0,Colombo,70871.0, 0.636 ,9.0,0
C1315,48.0,Galle,74969.0,0.447,5.0,0
C1088,54.0,Colombo,67980.0,0.12,9.0,n
C1387,57.0,Galle,,0.655,6.0,0
C1273,63.0,Kandy,103926.0,0.427,0.0,0
C1166,33.0,Colombo,102389.0,0.845,2.0,1
C1328,24.0,Jaffna,, 0.719 ,5.0,1
C1024,54.0,Galle,77179.0,0.808,5.0,y
C1134,55.0,Colombo,81129.0,0.964,6.0,1
C1306,32.0,Colombo,LKR 27035,0.836,9.0,1
C1427,55.0,Kandy, 66547 ,0.831,5.0,0
C1319,54.0,Kandy,,0.893,5.0,1
C1243,48.0,Colombo,72586.0,0.703,4.0,1
C1054,41.0,Jaffna,75265.0,0.508,10.0,0
C1363,59.0,Negombo,,0.493,9.0,0
C1050,53.0,Galle,113038.0,0.897,7.0,1
C1472,38.0,Colombo,69354.0,0.371,8.0,0
C1174,50.0,Kandy ,68142.0,0.283,1.0,0
C1445,49.0,Kandy,56061.0,50%,11.0,0
C1189,32.0,Galle,51323.0,0.712,3.0,0
,,,,,,
C1463,37.0,Jaffna,LKR 88923,0.841,5.0,1
C1187,,Kandy,46906.0,0.737,2.0,1
C1475,54.0,Colombo,118131.0,0.694,10.0,1
C1169,19.0,Jaffna,37512.0,0.455,7.0,0
C1058,52.0,Colombo,76328.0,0.685,9.0,1
C1474,47.0,Colombo,117543.0,0.395,3.0,0
C1048,49.0,Galle,46843.0,0.737,11.0,1
C1344,60.0,Colombo,60824.0,0.451,0.0,0
C1235,51.0,Kandy,105152.0,0.599,6.0,NO
C1252,26.0,Negombo,79909.0,62%,11.0,0
C1021,35.0,Colombo,101130.0,0.44,10.0,0
C1313,31.0,Galle,85674.0,0.41,11.0,0
C1459,22.0, Kandy,84184.0,0.569,4.0,0
C1160,64.0,Galle,79962.0,0.841,1.0,1
C1276,39.0,Negombo,91870.0,0.678,9.0,1
C1443,40.0,Colombo,41839.0,0.944,7.0,Yes
C1191,47.0,Colombo,83735.0,0.98,3.0,1
C1385,23.0,COLOMBO,90416.0,0.864,11.0,1
C1293,,Negombo,38588.0,0.26,10.0,0
C1413,24.0,Colombo,105398.0,0.617,6.0,1
C1491,58.0,Colombo,64240.0,0.21,1.0,0
C1343,42.0,Kandy,99909.0, 0.414 ,8.0,0
C1257,22.0,Jaffna, 65929 , 0.358 ,9.0,0
C1308,32.0,Kandy,74898.0,0.236,1.0,0
C1149,150.0,Kandy,73975.0,0.793,5.0,1
C1130,44.0,Kandy,67040.0,0.574,6.0,0
C1151,0.0,JAFFNA,52826.0,0.769,9.0,1
C1359,53.0,Kandy,106577.0,68%,4.0,1
C1099,24.0,Colombo,49933.0,0.834,8.0,1
C1372,37.0,Negombo,92489.0,0.589,3.0,Yes
C1087,32.0,Galle,47627.0,0.842,0.0,1
C1458,57.0,Kandy,,0.489,10.0,1
C1330,43.0,Kandy,47681.0,,4.0,0
